job_skill,frequency
within the last 24 months,14
Znajomość MS Office,14
biotechnologia,14
finanse),14
testing,14
Umiejętność analitycznego myślenia i rozwiązywania problemów,14
Znajomość SAP,14
Znajomość języka angielskiego na poziomie B2,14
Flask,14
Excellent communication and interpersonal skills,14
Wykształcenie średnie,14
Zdolność adaptacji i elastyczność,14
Canva,14
Biegła znajomość języka angielskiego w mowie i piśmie,14
Znajomość systemu SAP,14
Nexus,14
GA4,13
SAP ABAP,13
zarządzanie),13
Adobe Photoshop,13
Experience developing accessible technologies.,13
administracja,13
RxJS,13
Nagios,13
Znajomość języka angielskiego na poziomie komunikatywnym.,13
both written and spoken.,13
komunikatywność i umiejętność pracy w zespole,13
wysoka kultura osobista,13
Bardzo dobra znajomość języka angielskiego.,13
Wysoko rozwinięte zdolności analityczne,13
Apache Kafka,13
CRM,13
Google Search Console,13
LLM,13
CloudFormation,13
Machine Learning,13
Cucumber,13
Proficiency in English,13
dbt,13
dociekliwość,13
Typescript,13
MSSQL,13
Excellent communication,13
Samodzielność i dobra organizacja pracy,13
Wykształcenie techniczne,13
Qlik,13
spostrzegawczość,13
Komunikatywna znajomość języka angielskiego.,13
Rust,13
SSIS,13
PR,12
Information Systems,12
Czynne prawo jazdy kat. B.,12
maintaining,12
Doświadczenie na podobnym stanowisku.,12
Looker Studio,12
business,12
Prawo jazdy kategorii B.,12
DHCP,12
Wysoko rozwinięte umiejętności komunikacyjne,12
samodzielność i dobra organizacja pracy,12
finance,12
MS Excel,12
attention to detail,12
and with data structures/algorithms.,12
MBA,12
Wykształcenie wyższe (preferowane kierunki: finanse,12
Umiejętność planowania,12
API,12
jQuery,12
Wykształcenie min. średnie techniczne,12
WordPress,12
Tomcat,12
znajomość języka angielskiego na poziomie komunikatywnym,12
Biegła znajomość języka angielskiego.,12
Trello,12
or related field,12
prawo jazdy kategorii B,12
wysoko rozwinięte zdolności analityczne,12
WMS,12
Data Lake,12
ELK,12
logistyka,12
University degree,12
Rest API,11
ArgoCD,11
EnterpriseDB,11
Znajomość pakietu MS Office.,11
Microsoft 365,11
networking,11
VPN,11
bankowości,11
Asana,11
MES,11
automation,11
komunikacja,11
itp.,11
Wykształcenie wyższe kierunkowe,11
odpowiedzialność i zaangażowanie,11
both spoken and written,11
formuły,11
JD,11
Marketing,11
2 years of experience with software development in one or more programming languages,11
Puppet,11
RxJava,11
Znajomość języka angielskiego w stopniu komunikatywnym.,11
Microsoft Office,11
Umiejętność czytania rysunków technicznych,11
OpenStack,11
in which the consultant participated continuously for a period of 6 months,11
zdolność analitycznego myślenia,11
Komunikatywność i umiejętność pracy w zespole.,11
Keras,11
5Why,11
Exposure to Agile/Scrum methodologies.,11
Groovy,11
or launching software products,11
bardzo dobra znajomość MS Excel,11
Shell,11
DBT,11
FastAPI,11
Looker,11
Doskonałe umiejętności komunikacyjne i interpersonalne,11
Umiejętność czytania dokumentacji technicznej,11
znajomość języka angielskiego na poziomie B2,11
processes,11
CloudWatch,11
Znajomość wzorców projektowych,11
RDS,10
umiejętność rozwiązywania problemów,10
Analytical skills,10
Pub/Sub,10
umiejętność pracy pod presją czasu.,10
Appium,10
czynne prawo jazdy kat. B,10
Prince2,10
analiza danych,10
Power BI),10
Red Hat,10
mechanika,10
Kanban),10
Wykształcenie wyższe techniczne.,10
Umiejętność analitycznego myślenia i wyciągania wniosków,10
Laravel,10
1 year of experience with data structures or algorithms.,10
computer science,10
Inicjatywa,10
machine learning,10
PDCA,10
SVN,10
Umiejętność współpracy w zespole,10
Proaktywna postawa,10
umiejętność pracy w zespole.,10
Terminowość,10
Cisco,10
proactive,10
GTM,10
Accounting,10
accuracy,10
TikTok,10
Kubernetes).,10
Znajomość języka niemieckiego,10
Power Apps,10
DB2,10
Znajomość języka angielskiego na poziomie min. B2.,10
Hive,10
Dobra znajomość MS Office,10
Zdolności organizacyjne,10
UiPath,10
Otwartość,10
Datadog,10
Ruby,10
SMED,10
or 1 year of experience with an advanced degree.,10
dbałość o szczegóły,10
marketingu,10
Znajomość języka angielskiego na poziomie umożliwiającym swobodną komunikację,10
MS Office,10
Spanish,9
bardzo dobra znajomość MS Office,9
Umiejętność pracy pod presją czasu.,9
IBM MQ,9
Javascript,9
Ranger,9
umiejętność analitycznego myślenia i rozwiązywania problemów,9
GCP),9
Azure Data Lake,9
Blender,9
Good communication skills,9
znajomość SAP,9
analityczne myślenie,9
Bamboo,9
MVC,9
mechatronika,9
komunikacji,9
Dobra znajomość języka angielskiego (min. B2),9
Gotowość do podróży służbowych,9
collaboration,9
accounting,9
Bardzo dobra znajomość SQL,9
Azure),9
Znajomość Power BI,9
wykształcenie minimum średnie,9
dynamic environment,9
FMCG,9
minimum 2 mln zł brutto,9
mikrometr,9
Word).,9
Język angielski na poziomie komunikatywnym,9
Umiejętności komunikacyjne,9
Bardzo dobra znajomość MS Office,9
umiejętność czytania rysunku technicznego,9
Doświadczenie na podobnym stanowisku w firmie produkcyjnej,9
8 years of experience with software development in one or more programming languages (e.g.,9
Teams,9
WCF,9
Dbałość o szczegóły,9
ubezpieczeń społecznych,9
Google Cloud,9
Zaawansowana znajomość MS Excel,9
ISO 45001,9
XSLT,9
Synapse,9
MM,9
jesteś osobą komunikatywną,9
Dataflow,9
Visio,9
Szukamy osoby,9
Znajomość języka angielskiego na poziomie minimum B2,9
with 2 years of experience in a people management,9
tabele przestawne,9
supervision/team leadership role.,9
Wysokie umiejętności komunikacyjne,9
MLOps,9
Business,9
Outlook,9
umiejętności komunikacyjne,9
Python),9
Attention to detail,9
Znajomość narzędzi: Jira,9
gotowość do pracy w systemie zmianowym,9
otwartość na zmiany,9
monitoring,9
C/C++,9
PMI,9
Golang,9
dokładność i skrupulatność,9
ubezpieczenia,9
Data Vault,9
Access,9
Doskonałe umiejętności komunikacyjne i interpersonalne.,9
Dobre umiejętności komunikacyjne,9
Umiejętność pracy zespołowej.,9
Wiesz,9
data structures,8
znajomość MS Office,8
Doświadczenie w zarządzaniu projektami,8
chemia,8
configuration,8
w szczególności Excel.,8
Fluent Polish required,8
Doświadczenie w pracy na podobnym stanowisku.,8
doskonała organizacja pracy,8
German,8
TPM,8
MariaDB,8
statistics,8
statystyki,8
samodzielność i zaangażowanie,8
inicjatywa w działaniu,8
Osoba,8
umiejętność analitycznego myślenia i wyciągania wniosków,8
controlling,8
nastawienie na realizację celów,8
administracja),8
ekonomiczne,8
ekonomia lub pokrewne,8
Bardzo dobra znajomość pakietu MS Office (Excel,8
Znajomość systemów ERP,8
French,8
and 1 year of experience with software design and architecture.,8
Znajomość języka angielskiego na poziomie min. B1,8
engineering,8
3 years of experience testing,8
analyzing,8
data analysis,8
Confluence.,8
Adobe Illustrator,8
5 years of experience with software development in one or more programming languages,8
Kanban).,8
Komunikatywność i umiejętność współpracy w zespole,8
Pyspark,8
TOGAF,8
Matematyka,8
​,8
Umiejętność zarządzania projektami,8
CI/CD pipelines,8
EKS,8
MS PowerPoint,8
Teams),8
Material Design,8
1 year of experience with software development in one or more programming languages (e.g.,8
Big Data,8
Umiejętność organizacji pracy własnej i zespołu,8
Firebase,8
Copilot,8
planning,8
zarządzanie produkcją,8
Kanban,8
Xray,8
QlikView,8
Supply Chain,8
Dobra znajomość języka angielskiego w mowie i piśmie,8
Power Platform,8
umiejętność współpracy,8
dokładność i rzetelność,8
2 years of experience with data structures or algorithms.,8
Znajomość relacyjnych baz danych,8
Znajomość języka angielskiego na poziomie C1,8
Ubuntu,8
finanse lub pokrewne,8
Bachelor’s degree,8
Software Engineering,8
pivot tables,8
Gotowość do pracy w systemie zmianowym.,8
wykształcenie wyższe (preferowane kierunki: ekonomia,8
Umiejętność analitycznego myślenia i rozwiązywania problemów.,8
Flink,8
Talend,8
Veeam,8
minimum 1 project,8
JMeter,8
systems,8
Ahrefs,8
zdolności interpersonalne,8
Facebook Ads,8
Ekonomia,8
Znajomość prawa pracy,8
Znasz język angielski na poziomie komunikatywnym,8
Strong communication,8
Umiejętności interpersonalne i organizacyjne,8
zarządzanie zasobami ludzkimi,8
Android SDK,8
Illustrator,8
dokładność i odpowiedzialność,8
XGBoost,8
pokrewne),8
SD,8
Archimate,8
ML,8
Debian,8
architecture,8
Znajomość norm ISO 9001,8
znajomość SQL,8
Umiejętność podejmowania decyzji,8
WPF,8
Econometrics,8
produktów bankowych,8
Zephyr,8
Wykształcenie średnie lub wyższe techniczne,7
MLLib,7
JS,7
Znajomość JIRA,7
zarządzanie projektami,7
test automation frameworks).,7
code design and testing,7
Posiadasz wykształcenie wyższe,7
Oracle),7
Ambicja,7
Jenkins),7
KVM,7
SSRS,7
automated releases,7
PostgreSQL),7
SSAS,7
inżynieria materiałowa,7
Dagster,7
praktyczna znajomość pakietu MS Office,7
self-motivated,7
zarządzania,7
nastawienie na współpracę,7
coding (e.g.,7
Psychology,7
Gotowość do pracy w systemie 3-zmianowym,7
Strong organizational skills,7
Initiative,7
),7
Fluent in English.,7
Agile),7
Certyfikat z obszaru zarządzania projektem metodą zwinną (np. Agile PM lub równoważny),7
Glue,7
Master’s degree or PhD in Engineering,7
Umiejętność pracy w zespole i komunikatywność,7
or experience with compute technologies,7
overseeing projects,7
uczciwość,7
distributed systems or networks,7
umiejętność planowania,7
OID,7
performance,7
Excellent communication and collaboration skills,7
Agile PM,7
Ability to work independently,7
MVVM,7
JWT,7
doświadczenie w zarządzaniu zespołem,7
Objective-C,7
wysoko rozwinięte umiejętności komunikacyjne,7
Otwartość na zmiany,7
proaktywna postawa,7
Excellent communication and interpersonal skills.,7
inżynierii,7
zarządzanie).,7
Photoshop,7
preferowane techniczne,7
Strong problem-solving and analytical skills,7
Wysokie umiejętności interpersonalne,7
Adobe XD,7
znajomość języka angielskiego na poziomie komunikatywnym.,7
Scikit-learn,7
Doskonała organizacja pracy,7
Wykształcenie wyższe (preferowane kierunki: informatyka,7
Duża samodzielność,7
Attention to Detail,7
obowiązkowość,7
Ferryt,7
Etl,7
samodzielności,7
Wysoka motywacja,7
wiesz,7
komunikacyjne,7
Microservices,7
odporność na stres.,7
ekonomia lub pokrewne),7
CTR,7
HBase,7
risk management,7
elektrotechnika,7
Komunikatywność.,7
Samodzielność oraz dobra organizacja pracy,7
zdolności organizacyjne,7
bankowość),7
minimum 5 lat,7
inżynieria produkcji),7
Doświadczenie w zarządzaniu zespołem.,7
Proxmox,7
Kafka),7
elektronika,7
Jesteś osobą samodzielną,7
REST APIs,7
Umiejętność pracy w grupie,7
preferowane kierunki: zarządzanie zasobami ludzkimi,7
Visual Paradigm,7
Sonar,7
Strong analytical,7
TCP/IP,7
AWS Glue,7
Slack,7
Bardzo dobra znajomość przepisów prawa pracy,7
IAM,7
dokładność i sumienność,7
Cloud Storage,7
Odporność na stres oraz umiejętność pracy pod presją czasu,7
Blue Prism,7
MySQL),7
która:,7
Kimball,7
orientacja na cele,7
RAG,7
VBA),7
otwartość na stały rozwój i gotowość uczenia się,7
elastyczność,7
SQL Server,7
bash,7
Windows,7
Six Sigma,7
Hyper-V,7
Fortinet,7
w szczególności programu Excel,7
onboarding,7
Hotjar,7
pokrewne,7
or similar.,7
MDX,7
Strong problem-solving skills and attention to detail.,7
orientacja na realizacje celów,7
Asertywność,7
Dynatrace,7
umiejętność pracy w dynamicznym środowisku,7
Express,7
raportowania,7
Umiejętność budowania relacji,7
Wyższe wykształcenie,7
Zdolności organizacyjne i analityczne,7
planowanie,7
prawo),7
Pozytywne nastawienie,7
SASS,7
punktualność,7
Computer Vision,7
Wymagana płynna znajomość języka polskiego,7
Italian,7
GHP,7
SonarQube,7
independence,7
attention to details,7
e-commerce,7
VDA 6.3,7
SwiftUI,7
SAP BW,7
Computer Engineering,7
HDFS,7
Excellent verbal and written communication skills.,7
data governance,7
praktyczna znajomość prawa pracy,7
matematyki,7
techniczne,7
znajomość języka angielskiego na poziomie minimum B2,7
finansowe,6
Wykształcenie wyższe informatyczne,6
odpowiedzialność.,6
especially Excel,6
Azure Databricks,6
finanse i bankowość),6
Wykształcenie wyższe (preferowane techniczne),6
TestNG,6
CMake,6
Biegła znajomość pakietu MS Office,6
Bachelor’s or Master’s degree in Computer Science,6
Gatling,6
inne),6
Wysoki poziom samodzielności,6
Unity 3D,6
Wykształcenie wyższe w dziedzinie informatyki,6
routing,6
WebSocket,6
Fluency in English.,6
Analytical Skills: Strong analytical and problem-solving skills,6
fizyka,6
Power Query),6
Minimum 3 lata doświadczenia na podobnym stanowisku,6
Wykształcenie wyższe techniczne (informatyka,6
Entra ID,6
Zapier,6
analizy danych,6
wykształcenie techniczne,6
Design Thinking,6
Control Plan,6
MS Office (Excel,6
Dobra znajomość MS Excel,6
wysoki poziom umiejętności interpersonalnych,6
Flutter,6
REST Assured,6
Dobra znajomość pakietu Microsoft Office,6
Umiejętność organizacji pracy własnej,6
ARM,6
user stories,6
Independence,6
Excellent interpersonal and communication skills,6
Cloud,6
Gitlab,6
Bardzo dobre umiejętności komunikacyjne,6
Excellent organizational skills,6
5WHY,6
SCRUM,6
Room,6
HACCP,6
business administration,6
Znajomość MS Project na poziomie zaawansowanym (bilansowanie zasobów,6
zarządzanie budżetem),6
GitLab),6
tworzenie formularzy),6
w szczególności umiejętność planowania,6
definiowania,6
Efektywna komunikacja,6
BI,6
ZZL,6
Ishikawa),6
3 years of experience in a technical leadership role,6
logistics,6
compliance,6
MS Word,6
Umiejętność analizy danych i wyciągania wniosków,6
creativity,6
Excellent verbal and written communication skills,6
or a related technical field.,6
ICD10,6
GCP).,6
zaawansowana znajomość MS Excel,6
quality,6
compilers,6
KAFKA,6
Tableau),6
umiejętności analitycznego myślenia,6
SPSS,6
1 year of experience in a technical leadership role.,6
Komunikatywność i umiejętność pracy zespołowej,6
Wysoka kultura osobista.,6
or C++ codebases,6
ElasticSearch,6
and front-end experience including JavaScript or TypeScript,6
Znajomość języka angielskiego w stopniu umożliwiającym swobodną komunikację,6
ACCA,6
minimum 3 lata,6
Umiejętność pracy w dynamicznym,6
AgilePM,6
Znajomość pakietu Office,6
Znajomość narzędzi Lean Manufacturing,6
decyzyjność,6
developing,6
PL/pgSQL,6
biegła znajomość języka angielskiego,6
GitLab CI,6
SpringBoot,6
Liquibase,6
webpack,6
Treasury,6
wielozadaniowość,6
SEM,6
Znajomość języka angielskiego umożliwiająca swobodną komunikację,6
finansowych,6
Minimum 2-letnie doświadczenie na podobnym stanowisku,6
tools,6
Dobra znajomość obsługi komputera,6
data science,6
sumienność i dokładność,6
umiejętność podejmowania decyzji,6
Samodzielność i inicjatywa w działaniu,6
Bardzo dobra znajomość języka angielskiego (w mowie i piśmie),6
Wykształcenie wyższe (ekonomia,6
IPMA,6
Outlook).,6
S/4HANA,6
SAP S/4HANA,6
Przed podpisaniem umowy o pracę wymagamy,6
Znajomość narzędzi marketingowych,6
aby wybrana przez nas osoba złożyła oświadczenie,6
iż nie była ona prawomocnie skazana za umyślne przestępstwa wymienione w art. 19 ust. 1 pkt 2 ustawy o dystrybucji ubezpieczeń,6
Proaktywne podejście,6
Zarządzanie,6
entuzjazm,6
Meta Business Suite,6
troubleshooting,6
Excellent communication and stakeholder management skills,6
An ability to meet deadlines and reach targets,6
An ability to work independently in a project environment.,6
Samodzielność i odpowiedzialność,6
Redmine,6
OZE,6
TestRail,6
Strong attention to detail,6
or equivalent work experience,6
Microsoft Project,6
Wysoka samodzielność,6
Human Resources,6
Bash).,6
Umiejętność analitycznego myślenia.,6
a related field,6
Celery,6
Wysoka komunikatywność,6
łatwość nawiązywania kontaktów,6
Wykształcenie wyższe w zakresie finansów,6
both verbal and written,6
supply chain,6
komunikatywna znajomość języka angielskiego.,6
ISO,6
preferowane ekonomiczne,6
self-reliance,6
LangChain,6
wykształcenie wyższe ekonomiczne,6
Communicative English skills,6
Komunikatywna znajomość j. angielskiego,6
Understanding the Role,6
Resilience & Adaptability,6
Systematyczność,6
Organizational Commitment,6
Intermediate level of written and verbal English is essential,6
Experience navigating internet websites including social media,6
commercial websites etc.,6
historical and social news,6
Comfortable with reviewing internet content that may be deemed inappropriate and/or contain explicit material such as graphic,6
violent,6
or sexual content,6
Proven ability to deliver highest quality results while paying strict attention to detail,6
MLflow,6
Ability to be flexible and adaptable to meet changing business needs,6
Ability to work in a fast paced environment with high volume and complex demands,6
bardzo dobra znajomość rysunku technicznego,6
Can remain positive during challenging assignments,6
fashion,6
Strong work ethic and ability to work with minimal supervision,6
Intermediate I.T skills with the ability to quickly learn new tools,6
dziennikarstwo,6
umiejętność pracy w grupie,6
Umiejętność planowania i organizacji pracy,6
Fivetran,6
Doświadczenie zawodowe na podobnym stanowisku,6
querying databases or statistical analysis,6
CPA,6
zarządzanie jakością,6
fluency in English,6
flexible,6
Wymagane przebywanie na terenie Polski,6
Coupa,6
Storage,6
Wykształcenie kierunkowe,6
SAFe),6
Doświadczenie na podobnym stanowisku w branży spożywczej,6
Wykształcenie wyższe informatyczne lub pokrewne,6
Scrum.,6
DRY,6
Self-motivated,6
Znajomość narzędzi analitycznych,6
podstawowa znajomość SQL,6
wysokie umiejętności interpersonalne,6
Silne umiejętności analityczne,6
reklama,6
Atlassian,6
sprzedaży,6
Very good command of English,6
matematyczne,6
facilitation,6
Wykształcenie wyższe ekonomiczne,6
preferowane kierunki: informatyka,6
Znajomość j. angielskiego,6
optymizm,5
proaktywność.,5
umiejętność samodzielnego rozwiązywania problemów,5
Zaawansowana znajomość języka angielskiego,5
Wysokie zdolności interpersonalne,5
PyTest,5
bardzo dobra organizacja czasu pracy,5
Rozwinięte umiejętności analityczne,5
znajomość obsługi komputera,5
MT,5
GoLang,5
samodzielność i odpowiedzialność,5
PT,5
software,5
Doskonałe umiejętności analityczne,5
Lean,5
zaangażowanie w pracę,5
APIs,5
Confluence).,5
wysokie zdolności analityczne,5
Znajomość zagadnień związanych z bezpieczeństwem IT,5
Spock,5
samodzielność i inicjatywa,5
Znajomość narzędzi analitycznych (Google Analytics,5
Webpack,5
Github,5
Znajomość baz danych Oracle,5
Blob Storage,5
business development,5
Strong oral and written communication skills,5
or equivalent work experience.,5
Power Pivot,5
Project),5
wykształcenie wyższe kierunkowe,5
preferowane kierunki: finanse,5
excellent written and verbal English,5
Praktyczna znajomość pakietu MS Office,5
gotowość do pracy w systemie 3-zmianowym,5
OpenTelemetry,5
wykształcenie minimum średnie techniczne,5
znajomość języka angielskiego na poziomie umożliwiającym swobodną komunikację,5
SQL Server Management Studio,5
operating systems,5
deployment,5
AWS Lambda,5
Łatwość nawiązywania kontaktów,5
Umiejętność pracy w dynamicznym środowisku,5
Znajomość systemu SAP.,5
gRPC,5
Min. 2 lata doświadczenia na podobnym stanowisku,5
Excellent attention to detail,5
myślenie analityczne,5
inżynieria,5
Azure Functions,5
UML),5
Znajomość języka SQL,5
Komunikatywna znajomość języka angielskiego (w mowie i piśmie),5
otwartość na nowe wyzwania,5
ADF,5
DynamoDB),5
Wykształcenie wyższe lub w trakcie studiów,5
Wysokie umiejętności komunikacyjne i interpersonalne,5
GitLab CI/CD,5
organized,5
raporty,5
nastawienie na rozwój,5
open-minded,5
Wykształcenie wyższe kierunkowe (finanse,5
wykształcenie średnie lub wyższe,5
CentOS,5
Umiejętność logicznego myślenia,5
MATLAB,5
Rachunkowość,5
odpowiedzialność za powierzone zadania,5
Strategic thinking,5
Komunikatywność oraz umiejętność pracy w zespole,5
z udziałem przez minimum 6 miesięcy.,5
Gotowość do pracy zmianowej,5
Znajomość języka angielskiego co najmniej na poziomie B2,5
MS SQL Server,5
Soap,5
distributed systems,5
Experience with Docker,5
Kreatywność.,5
Wysoko rozwinięte umiejętności komunikacyjne i interpersonalne.,5
Parquet,5
