job_title,company,matched_job_skills,total_job_skills,match_ratio
Inżynier systemów Linux i sieci LAN,IT-PARTNER Sp. z o.o.,9,20,0.45
Pracownik infolinii - Specjalista ds. likwidacji szkód komunikacyjnych,Sparta Brokers Sp. z o.o.,6,8,0.75
Data Scientist - Automation & Innovation Department,T-Mobile,26,42,0.6190476190476191
Starszy Specjalista / Starsza Specjalistka w Dziale Danych i Raportowania,wonga.pl Sp. z o.o.,14,19,0.7368421052631579
SysOps (bazy danych),E NET PRODUCTION,10,22,0.45454545454545453
Inżynier Kontroli Jakości,Sabaj System Sp. z o.o.,6,13,0.46153846153846156
Kierownik Zmiany,AVIT,5,6,0.8333333333333334
SAP Service Manager,CRESTT sp. z o.o.,4,13,0.3076923076923077
Specjalista/ka ds. Social Mediów i Marketingu Treści,UNICEF POLSKA,4,12,0.3333333333333333
Business Intelligence Engineer,McCormick Shared Services,15,24,0.625
Specjalista ds. Ciągłego Doskonalenia / Lean Manufacturing,Stalprodukt S.A.,17,25,0.68
Koordynator produkcji - branża lotnicza,NETUR Polska Sp. z o.o.,6,10,0.6
Manager/Kierownik Działu Marketingu,Rekrutacja 360 - Pracuj.pl,9,14,0.6428571428571429
Automation Engineer (LCNC/AI),Printbox Sp. z o.o.,15,20,0.75
Analityk Biznesowy – Rynek Hurtowy Energetyki,CRESTT sp. z o.o.,4,9,0.4444444444444444
Junior Consultant / Junior Analyst,Aurelis Consulting Sp. z o.o.,7,17,0.4117647058823529
Specjalista / Specjalistka ds. wdrożeń systemów produkcyjnych APS,QUERIS SP. Z O.O.,11,13,0.8461538461538461
Praktykant .Net,AXA IT Solutions,8,20,0.4
Automation Tester,INNOBO sp. z o.o.,9,26,0.34615384615384615
Asystent / Asystentka ds. Zakupów,EZEBRA.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,0,0,0.0
Inżynier Specjalista w Dziale Marketingu Produktu i Zakupów,Viessmann Sp. z o.o.,3,6,0.5
Administrator Aplikacji,Pomorskie Przedsiębiorstwo Mechaniczno-Torowe Sp. z o.o.,16,19,0.8421052631578947
Specjalista ds. Przygotowania Produkcji / Manufacturing Engineer,Adient Poland - Świebodzin,11,17,0.6470588235294118
Software / Application Support Engineer,Brown Brothers Harriman,12,30,0.4
Specjalista / Specjalistka ds. zarządzania jakością,"""SENTREX"" sp. z o.o.",6,8,0.75
Administrator Systemów,AFLOFARM FARMACJA POLSKA SP. Z O.O.,7,10,0.7
Automation Tester / QA,Scalo Sp. z o.o.,8,16,0.5
Frontend Developer,airSlate Poland Sp. z o.o.,7,17,0.4117647058823529
Specjalista Oracle ERP E-Business Suite,TQLO sp. z o.o.,25,49,0.5102040816326531
Junior Forecast Analyst,Jones Lang LaSalle,9,20,0.45
Księgowy / Księgowa,IMS S.A.,4,8,0.5
Specjalista / Specjalistka ds. kadr i płac,ACPAC Sp. z o.o.,3,7,0.42857142857142855
AP Junior Accountant,bioMérieux SSC Europe Sp. z o.o.,6,9,0.6666666666666666
Social Media & Paid Ads Manager,Wydawnictwo Kobiece,12,29,0.41379310344827586
Specjalista ds. Jakości i Zintegrowanych Systemów Zarządzania,O-I Poland S.A.,5,7,0.7142857142857143
Płatny staż w dziale jakości,BREMBO POLAND Sp. z o.o.,6,10,0.6
Data Analyst,Nokia,8,12,0.6666666666666666
Płatny Staż w dziale Sprzedaży Elektronarzędzi,Robert Bosch Sp. z o.o.,6,11,0.5454545454545454
C++ / Rust Developer,TQLO sp. z o.o.,8,19,0.42105263157894735
"Data Engineer (Python, Azure, DataBricks)",CRESTT sp. z o.o.,22,25,0.88
Business Analyst,Scalo Sp. z o.o.,15,22,0.6818181818181818
Analityk Biznesowo - Systemowy,TQLO sp. z o.o.,10,18,0.5555555555555556
Mistrz produkcji,Randstad Polska Sp. z o.o.,7,7,1.0
Operations Specialist with Italian,MMC Group Services Sp. z o.o.,6,8,0.75
Operations Specialist with German,MMC Group Services Sp. z o.o.,6,8,0.75
Operations Specialist with French,MMC Group Services Sp. z o.o.,6,8,0.75
Operations Specialist with Spanish,MMC Group Services Sp. z o.o.,5,8,0.625
Inspektor Nadzoru,ALIOR BANK,8,17,0.47058823529411764
Junior Business Analyst,B2B.NET S.A.,13,21,0.6190476190476191
Senior / Principal Recruitment Consultant - SSC/BPO,Antal,3,6,0.5
Kontroler Jakości,Rekrutacja 360 - Pracuj.pl,12,17,0.7058823529411765
Specjalista/-ka ds. likwidacji szkód i sieci naprawczej,INNOVATION GROUP POLAND Sp. z o.o.,4,8,0.5
Senior Spark/Scala Developer,Hays Poland,4,11,0.36363636363636365
Analityk Kredytowy,Credit Agricole Bank Polska S.A.,5,9,0.5555555555555556
Administrator Oracle,TQLO sp. z o.o.,14,23,0.6086956521739131
Mid Fullstack Engineer (Node.js/React),CLOUDFIDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,12,29,0.41379310344827586
Power BI Developer,TQLO sp. z o.o.,12,23,0.5217391304347826
Regular Java Developer,Primaris Services,6,15,0.4
"Lab Engineer, RBKS QA team",Ring,11,28,0.39285714285714285
HR Generalist - Specjalista ds. Pracowniczych,Tenneco Automotive Polska Sp. z o.o. (Rybnik),10,13,0.7692307692307693
Specjalista ds. Social Media,New Approach sp. z o.o.,5,17,0.29411764705882354
React Team Lead,CRESTT sp. z o.o.,13,26,0.5
"Quality Assurance Engineer, Key for Business",Ring,8,17,0.47058823529411764
Ekspert ds. doskonałości operacyjnej (Operational Excellence Expert),Hermes Fulfilment Sp. z o.o.,6,9,0.6666666666666666
"Solution Architect (AWS, Spark)",CRESTT sp. z o.o.,42,87,0.4827586206896552
Product Data Coordinator / Koordynator ds. danych produktów,INSPIRION Polska Sp. z o.o.,17,31,0.5483870967741935
Tester manualny,Biostat sp. z o.o.,9,17,0.5294117647058824
Programista Frontend Developer,Bank Pekao,10,24,0.4166666666666667
Junior Project Manager - Koordynator produkcji,POWER LAB sp. z o.o.,7,11,0.6363636363636364
Kierownik produkcji,Betard Sp. z o.o.,6,8,0.75
Chief SW Engineer,VISA,16,57,0.2807017543859649
Staff SW Engineer (Java),VISA,16,48,0.3333333333333333
Software Engineer - Sr. Consultant level,VISA,11,29,0.3793103448275862
Lead Software Engineer,Franklin Templeton Investments Poland Sp. z o.o.,7,16,0.4375
Junior Internal Auditor,Wavin Shared Services,6,10,0.6
Homologation & Certification Expert,NEVOMO Poland Sp.z.o.o.,11,22,0.5
Service Manager (ServiceNow),Ework Group,17,19,0.8947368421052632
Młodszy specjalista ds. marketingu marki,GTV Poland,6,15,0.4
C++ Developer | Branża Elektroniczna |,Edge One Solutions Sp. z o.o.,5,21,0.23809523809523808
"Learning Specialist, Digital Academy - Aarhus",Arla Global Shared Services Sp. z o.o.,11,19,0.5789473684210527
Customer Advanced Quality Engineer,Aptiv,13,21,0.6190476190476191
St. specjalista / St. specjalistka ds. budowania relacji z klientem zamożnym,mBank,1,8,0.125
Product Manager (Analizy),Credit Agricole Bank Polska S.A.,7,14,0.5
Analityk danych w Zespole Raportowania i Analiz (k/m/d),Generali,13,17,0.7647058823529411
Koordynator HR w Centrum Dystrybucyjnym Decathlon,Decathlon sp. z o.o.,1,7,0.14285714285714285
Praktykant w Dziale Controllingu,QEMETICA Soda Polska S.A.,4,6,0.6666666666666666
Junior Chargeback Specialist,Autopay,7,9,0.7777777777777778
Delphi Developer,ITDS Polska Sp. z o.o.,10,19,0.5263157894736842
Kontroler Jakości,Lohmann Polska Sp. z o.o.,8,10,0.8
Data Engineer z GCP,TQLO sp. z o.o.,11,19,0.5789473684210527
Specjalista / Specjalistka ds. Controllingu,OLIMP LABS SP. Z O.O.,7,16,0.4375
Starszy Analityk Finansowy (Dział Controllingu Finansowego) (k/m/d),Generali,8,15,0.5333333333333333
Osoba Wykwalifikowana,US Pharmacia,8,11,0.7272727272727273
Kierownik Produkcji,ZOTEFOAMS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,11,18,0.6111111111111112
Node.js Developer,ITDS Polska Sp. z o.o.,8,23,0.34782608695652173
Full Stack Java Developer - KYC Team,Brown Brothers Harriman,21,50,0.42
Specjalista ds. Wdrożeń i Wsparcia,Komtech Sp. z o.o.,15,16,0.9375
Kierownik Działu Jakości (Automotive),Universal Scientific Industrial Poland Sp. z o.o.,7,12,0.5833333333333334
Tester Data&BI,summ-it s.a.,17,25,0.68
Analityk Systemów Logistycznych IT,Media Expert,9,15,0.6
RPA Developer UiPath,Connectis_,12,28,0.42857142857142855
Senior C++ Developer,EPAM Systems (Poland) sp. z o.o.,15,52,0.28846153846153844
Software Development Manager,Ring,17,26,0.6538461538461539
Senior Software Developer,EPAM Systems (Poland) sp. z o.o.,4,19,0.21052631578947367
"Lead Software Engineer (Xen, C)",EPAM Systems (Poland) sp. z o.o.,7,20,0.35
Asset Servicing Manager,Citi Poland,3,10,0.3
Junior JAVA Developer,Sportradar Polska Sp. z o.o.,9,27,0.3333333333333333
Senior Ruby on Rails Developer,Monterail Sp. z o.o.,10,24,0.4166666666666667
Analityk (K/M) w Biurze Ryzyka Kredytowego Klientów Korporacyjnych,Deutsche Bank Polska S.A.,8,13,0.6153846153846154
"Business Intelligence Engineer, Ring AI Data Management",Ring,15,30,0.5
Specjalista ds. PMO (k/m),TRUMPF Huettinger Sp. z o.o.,8,8,1.0
Cash and Trade Process Analyst,Citi Poland,2,4,0.5
Kierownik zmiany produkcyjnej,TREND GLASS Sp. z o.o.,8,10,0.8
Big Data Engineer,Edge One Solutions Sp. z o.o.,23,46,0.5
Kierownik produkcji,Cognor SA Oddział Ferrostal w Siemianowicach Śląskich,7,12,0.5833333333333334
Low Code Developer,Consdata S.A.,10,29,0.3448275862068966
Administrator Systemowy Windows Server oraz Linux (RHEL),Connectis_,11,14,0.7857142857142857
Inżynier systemowy (Windows),Comarch SA,11,17,0.6470588235294118
Microstrategy Consultant,TQLO sp. z o.o.,10,14,0.7142857142857143
SQL Server Developer,Comarch SA,10,13,0.7692307692307693
Tester automatyzujący,Integral Solutions,18,36,0.5
Kierownik Zmiany Produkcyjnej,NOWEL Sp. z o.o.,7,8,0.875
Młodszy Specjalista ds. Jakości,KGL S.A.,8,10,0.8
Kontroler Jakości,ETPROMO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7,13,0.5384615384615384
HR Controlling Specialist / Specjalist(-k)a ds. Kontrolingu Personalnego​,Empik S.A.,4,6,0.6666666666666666
Specjalista ds. Jakości Dostawców (k/m),TRUMPF Huettinger Sp. z o.o.,10,18,0.5555555555555556
Manager/Kierownik Działu Marketingu - branża Petfood,Rekrutacja 360 - Pracuj.pl,9,13,0.6923076923076923
Machine Learning Engineer – GenAI / LLMs / Python,SQUARE ONE RESOURCES sp. z o.o.,9,20,0.45
Inżynier Jakości (k/m),TRUMPF Huettinger Sp. z o.o.,11,12,0.9166666666666666
Inżynier Jakości Klienta,Moltton,13,20,0.65
Senior Product Manager - Money Movement Solutions,ITCARD S.A.,7,14,0.5
Global Project Expert - Product Packaging & Labeling,ZF Group,9,16,0.5625
Program stażowy EBSC - 2025 edycja Letnia,MARSH SP. Z O.O.,10,13,0.7692307692307693
Inżynier Metrolog,Hoerbiger Automotive Sp. z o.o.,10,17,0.5882352941176471
Analityk Biznesowy,Integral Solutions,12,13,0.9230769230769231
Senior Node.js Engineer,SQUARE ONE RESOURCES sp. z o.o.,9,27,0.3333333333333333
Inżynier ds. Jakości Produktów (k/m),TRUMPF Huettinger Sp. z o.o.,7,13,0.5384615384615384
Manager ds. Optymalizacji,CRH Materials Polska Sp. z o.o.,8,14,0.5714285714285714
Business Architect,ZF Group,11,11,1.0
Financial & Performance Analyst Digital,BARRY CALLEBAUT SSC EUROPE SP Z O O,14,25,0.56
Inżynier jakości,AIC S.A.,11,15,0.7333333333333333
Frontend Developer (Angular + .NET),SQUARE ONE RESOURCES sp. z o.o.,10,20,0.5
Specjalista ds. Hurtowni Danych i ETL,ALGOTEQUE SERVICES sp. z o.o.,18,22,0.8181818181818182
Specjalista ds. Planowania Produkcji (k/m),TRUMPF Huettinger Sp. z o.o.,6,8,0.75
Specjalista ds. Kontroli Jakości,NOWEL Sp. z o.o.,4,9,0.4444444444444444
Adobe CDP / AJO Marketing Automation Developer,SQUARE ONE RESOURCES sp. z o.o.,4,10,0.4
Python Developer,Scalo Sp. z o.o.,9,18,0.5
Business and System Analyst CRM KB,ALIOR BANK,14,20,0.7
Analityk Kredytowy Klienta Korporacyjnego,ALIOR BANK,5,12,0.4166666666666667
Staż w dziale księgowości,EUROFINS BUSINESS SERVICES POLAND Sp. z o.o.,0,0,0.0
Senior Crypto Algorithmic Trader,Match-Trade Technologies,13,24,0.5416666666666666
Koordynator / Koordynatorka Logistyki Produkcji,Beiersdorf Manufacturing Poznań Sp. z o.o.,5,12,0.4166666666666667
"Go2Market, UX & UI Team Leader - One Portal Tribe​",T-Mobile,6,14,0.42857142857142855
Go2Market Expert - OnePortal,T-Mobile,5,8,0.625
Embedded Software Development Engineer,Ring,9,26,0.34615384615384615
Senior Data Engineers,Idego Group Sp. z o.o.,8,14,0.5714285714285714
Mistrz Laboratorium Metalograficznego,MAHLE Polska Sp. z o.o.,5,8,0.625
Młodszy Specjalista / Młodsza Specjalistka ds. weryfikacji zamówień,Riverty,6,10,0.6
Senior DevOps Engineer (Azure),EPAM Systems (Poland) sp. z o.o.,13,27,0.48148148148148145
Senior DevOps Engineer (CMake),EPAM Systems (Poland) sp. z o.o.,9,20,0.45
Oracle Data Engineer,VOLKSWAGEN FINANCIAL SERVICES POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,25,39,0.6410256410256411
Junior Talent Acquisition Consultant,P&P Solutions Sp. z o.o.,11,18,0.6111111111111112
Manager - Supplier Quality Management,WS Audiology,11,22,0.5
Lider Zmianowy Obszaru (Dział Produkcji Opakowań Szklanych),Gerresheimer Bolesławiec S.A.,14,21,0.6666666666666666
Lead ServiceNow Engineer,EPAM Systems (Poland) sp. z o.o.,9,14,0.6428571428571429
Project Manager ERP (Financial System Implementation),bolttech Poland Sp. z o.o.,13,33,0.3939393939393939
Talent Acquisition Consultant,P&P Solutions Sp. z o.o.,11,19,0.5789473684210527
Senior Java Full-Stack Developer,EPAM Systems (Poland) sp. z o.o.,8,31,0.25806451612903225
Lead Java Full-Stack Developer,EPAM Systems (Poland) sp. z o.o.,9,31,0.2903225806451613
Senior Java Full Stack Developer,EPAM Systems (Poland) sp. z o.o.,13,30,0.43333333333333335
Senior Java Developer,EPAM Systems (Poland) sp. z o.o.,14,36,0.3888888888888889
Senior Specialist - Cloud Operations Engineer,Arla Global Shared Services Sp. z o.o.,22,31,0.7096774193548387
PMO,Connectis_,8,9,0.8888888888888888
Specialist - Cloud Engineer,Arla Global Shared Services Sp. z o.o.,10,20,0.5
"Software Development Engineer, Ring Cloud Computer Vision",Ring,8,20,0.4
Senior Specialist - Cloud Engineer,Arla Global Shared Services Sp. z o.o.,13,21,0.6190476190476191
Manager Produktów Kredytowych Bankowości Korporacyjnej,Credit Agricole Bank Polska S.A.,8,15,0.5333333333333333
"Specjalista ds. Marketingu B2B i Generowania Leadów (MedTech, SaaS)",HigoSense Sp z o.o.,9,27,0.3333333333333333
NLP Engineer for Machine Translation,Samsung R&D Institute Poland,20,48,0.4166666666666667
Fullstack Developer,ER Group Sp. z o.o.,0,9,0.0
AI Solution Architect,Benefit Systems S.A.,12,28,0.42857142857142855
"Specjalista ds. Testowania Oprogramowania i Wsparcia Technicznego, EY Advantage",EY (dawniej Ernst & Young),7,9,0.7777777777777778
Product Security Engineer,Adtran,18,44,0.4090909090909091
Starszy Specjalista ds. Produktów Kapitałowych UE,Bank Gospodarstwa Krajowego,6,15,0.4
Lider zespołu produkcyjnego,IQ Metal Sp. z o.o.,8,12,0.6666666666666666
Software Developer Manager,speedapp,18,29,0.6206896551724138
Data Engineer (Spark),Scalo Sp. z o.o.,12,38,0.3157894736842105
Business Application Specialist,Wavin Shared Services,14,24,0.5833333333333334
Omnichannel Lead Expert,BNP Paribas Polska S.A.,11,14,0.7857142857142857
Flutter Developer,Brown Brothers Harriman,5,18,0.2777777777777778
Starszy Menadżer ds. Wdrożeń IT - Release Manager IT,Credit Agricole Bank Polska S.A.,13,16,0.8125
Kierownik Działu Jakości i Rozwoju,NVH POLAND sp. z o.o.,6,14,0.42857142857142855
Junior Data Analyst,Connectis_,7,9,0.7777777777777778
Specjalista ds. Aktualizacji Danych,Connectis_,7,9,0.7777777777777778
Inżynier ds. Procesów Spawalniczych MAG i Laser,Brose Sitech,5,9,0.5555555555555556
Młodszy administrator IT,Unisoft Sp. z o.o.,10,21,0.47619047619047616
AWS Data Consultant,PwC,25,45,0.5555555555555556
Specjalista ds. Weryfikacji Danych,Connectis_,7,9,0.7777777777777778
Specjalista / Specjalistka ds. kadr i płac,BYŚ-WOJCIECH BYŚKINIEWICZ,5,10,0.5
Analityk systemowo-biznesowy,Moto-Profil Sp. z o.o.,21,26,0.8076923076923077
Senior .NET Developer,ITDS Polska Sp. z o.o.,19,34,0.5588235294117647
Accountant RtR - General Ledger,EUROFINS BUSINESS SERVICES POLAND Sp. z o.o.,2,7,0.2857142857142857
BPMS Developer,GOLDENORE ITC sp. z o.o.,14,29,0.4827586206896552
Technolog Programista CNC,Nova Trading S.A.,6,9,0.6666666666666666
AI Developer,Wyższa Szkoła Kształcenia Zawodowego,24,47,0.5106382978723404
Specjalista ds. content marketingu – IT w logistyce,Quantum Qguar Sp. z o.o.,4,4,1.0
Senior DevOps Engineer,Sopra Steria Polska Sp. z o.o.,29,47,0.6170212765957447
Embedded HW Developer (Processor + FPGA),TechnipFMC,21,54,0.3888888888888889
Senior Embedded HW Developer (Processor + FPGA),TechnipFMC,21,54,0.3888888888888889
Administrator Aplikacji i Systemów (F/M),PEOPLEVIBE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,12,20,0.6
Junior Specialist OtC (Collections) – 2nd shift,Getinge Shared Services sp. z o.o.,7,12,0.5833333333333334
Sustainability and Social Impact Analyst,Alcon Polska,13,20,0.65
Senior QA Manager – Customer Complaints,Alcon Polska,12,16,0.75
Account Executive,H2O Sp. z o.o.,6,11,0.5454545454545454
Główny Technolog - branża stalowa,Moltton,6,8,0.75
PowerBI Specialist,MILESTONE MANAGEMENT SERVICES PL sp. z o.o.,6,10,0.6
MSSQL Database Administrator (DBA),Mindbox S.A.,12,18,0.6666666666666666
Kierownik zmiany,Colours Factory Sp. z o.o.,10,19,0.5263157894736842
Fullstack Java Developer,ITEAMLY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2,30,0.06666666666666667
Zastępca Kierownika Produkcji,POLKORN PIEKARNIA Z CUKIERNIĄ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,6,9,0.6666666666666666
Technolog Żywności,POLKORN PIEKARNIA Z CUKIERNIĄ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5,7,0.7142857142857143
Python Developer,speedapp,18,30,0.6
Product Owner branża IT,UNITY-T GROUP sp. z o.o. sp.k.,12,17,0.7058823529411765
Head of Global Compensation & Benefits Operations,Swarovski Global Business Services,4,10,0.4
Marketing Manager (Cluster North),QEMETICA Agricultural Solutions Poland S.A.,4,12,0.3333333333333333
Sr Business Analyst,ASCENDION ENGINEERING SOLUTIONS POLAND SP. Z O.O.,12,17,0.7058823529411765
Senior PHP Developer,Burda Media Polska Sp. z o. o.,19,32,0.59375
Network Consulting Engineer,ASCENDION ENGINEERING SOLUTIONS POLAND SP. Z O.O.,3,4,0.75
Specjalista ds. controllingu (m/k),STOKSON Spółka Jawna Henryk Stokłosa i Wspólnicy,7,13,0.5384615384615384
Data Analyst,SQUARE ONE RESOURCES sp. z o.o.,9,10,0.9
IT Delivery Manager,SQUARE ONE RESOURCES sp. z o.o.,8,11,0.7272727272727273
DevOps Engineer - Administrator EDB / PostgreSQL,SQUARE ONE RESOURCES sp. z o.o.,12,26,0.46153846153846156
AR Specialist,ArcelorMittal Business Center of Excellence Poland,4,14,0.2857142857142857
Koordynator ds. rozwoju rynku farmaceutycznego,ZARYS International Group Sp. z o.o. Sp.k.,5,10,0.5
Specjalista / Specjalistka ds. oferty finansowania firm,mBank,8,13,0.6153846153846154
Mistrz ds. Produkcji i Usług,Bioeko Grupa TAURON Sp. z o.o.,9,13,0.6923076923076923
Specjalista/-tka ds. marketingu,AB S.A.,5,7,0.7142857142857143
Inżynier ds. nowych wdrożeń (Industrial Engineer – automotive),PHOENIX CONTACT E-MOBILITY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,4,9,0.4444444444444444
Senior Backend Developer (.NET & AWS),BRAVER IT SPÓŁKA AKCYJNA,9,33,0.2727272727272727
Specjalista / Specjalistka ds. Global Manufacturing System (Lean),Demant Operations Poland sp. z o.o.,6,10,0.6
Senior Pricing Strategy Analyst – EMEA RLM,Medtronic,6,33,0.18181818181818182
Lead Java Developer,EPAM Systems (Poland) sp. z o.o.,16,26,0.6153846153846154
Specjalista ds. ESG i systemów ISO,Solid Bridge Solutions Sp. z o.o.,9,12,0.75
Młodszy Specjalista u lidera branży energetycznej,FALLWORK SP. Z O.O.,8,9,0.8888888888888888
Starszy Specjalista ds. Modelowania Ryzyka Kredytowego,Bank Millennium S.A.,5,8,0.625
Koordynator(ka) ds. optymalizacji łańcucha dostaw,Kompania Piwowarska,10,14,0.7142857142857143
Senior Test Automation Engineer in JavaScript / TypeScript,EPAM Systems (Poland) sp. z o.o.,12,32,0.375
"Software Engineer II - Infrastructure, EasyGCP",Google,7,20,0.35
Junior P&C Services Specialist with Danish,Ingka Business Service Center sp. z o.o.,6,17,0.35294117647058826
Senior AWS Cloud DevOps Engineer,EPAM Systems (Poland) sp. z o.o.,26,53,0.49056603773584906
Lead AWS Cloud DevOps Engineer,EPAM Systems (Poland) sp. z o.o.,23,44,0.5227272727272727
Senior Site Reliability Engineer,EPAM Systems (Poland) sp. z o.o.,16,32,0.5
Scrum Master,Unisoft Sp. z o.o.,2,2,1.0
Senior Data Engineer,Idego Group Sp. z o.o.,14,19,0.7368421052631579
IT Project Manager,TQLO sp. z o.o.,1,1,1.0
Młodszy Specjalista ds. Bezpieczeństwa,Kasa Stefczyka,13,23,0.5652173913043478
Analityk ds. kontrolingu budowlanego,Murapol Real Estate,5,7,0.7142857142857143
Junior HR Business Partner,Huawei Polska Sp. z o.o.,12,20,0.6
Szef / Szefowa Zespołu Produkcyjnego,Polpharma S.A.,6,10,0.6
Analityk systemowo-biznesowy,Scalo Sp. z o.o.,9,18,0.5
Internship in Marketing,Amway Global Business Services,12,18,0.6666666666666666
Knowledge & Community Lead – AI Developer Tools,Mindbox S.A.,12,20,0.6
Specjalista ds. badań NDT (kontroler),IQ Metal Sp. z o.o.,2,7,0.2857142857142857
Country Brand Lead Vaccines,Pfizer,7,16,0.4375
Specjalista ds. Produktu – Ubezpieczenia Komunikacyjne,"Towarzystwo Ubezpieczeń Wzajemnych ""TUW""",7,11,0.6363636363636364
Lider linii produkcyjnej,HR Nect Sp. z o.o.,4,5,0.8
Engineering Manager (Big Data),Samsung R&D Institute Poland,22,35,0.6285714285714286
Kierownik Produkcji,Hendrickson Poland Sp. z o.o.,15,22,0.6818181818181818
Market Research Specialist / Associate Manager,ZOETIS POLSKA SP. Z O.O.,10,22,0.45454545454545453
Business Researcher,Simon-Kucher Core Business Services Sp. z o. o.,10,22,0.45454545454545453
IT Business Partner,PKO Bank Polski SA,9,13,0.6923076923076923
IT Systems Administrator (Admin Platformy Big Data),Grupa Inter Cars,10,18,0.5555555555555556
Credit Controller,Farnell element14,7,12,0.5833333333333334
